rank	selection_reason	char	display_sample	codepoint	name	category	script	block	age	emoji	requires_base	standalone_safe	windows_font_covered	shape_hints
1	形态词命中+Emoji	⏭	⏭	U+23ED	BLACK RIGHT-POINTING DOUBLE TRIANGLE WITH VERTICAL BAR	So	Common	Miscellaneous Technical	6.0	true	false	true	true	点,线,角,方向,对称
2	形态词命中+Emoji	⏮	⏮	U+23EE	BLACK LEFT-POINTING DOUBLE TRIANGLE WITH VERTICAL BAR	So	Common	Miscellaneous Technical	6.0	true	false	true	true	点,线,角,方向,对称
3	形态词命中+Emoji	⏯	⏯	U+23EF	BLACK RIGHT-POINTING TRIANGLE WITH DOUBLE VERTICAL BAR	So	Common	Miscellaneous Technical	6.0	true	false	true	true	点,线,角,方向,对称
4	形态词命中+Emoji	⏩	⏩	U+23E9	BLACK RIGHT-POINTING DOUBLE TRIANGLE	So	Common	Miscellaneous Technical	6.0	true	false	true	true	点,角,方向,对称
5	形态词命中+Emoji	⏪	⏪	U+23EA	BLACK LEFT-POINTING DOUBLE TRIANGLE	So	Common	Miscellaneous Technical	6.0	true	false	true	true	点,角,方向,对称
6	形态词命中+Emoji	⏫	⏫	U+23EB	BLACK UP-POINTING DOUBLE TRIANGLE	So	Common	Miscellaneous Technical	6.0	true	false	true	true	点,角,方向,对称
7	形态词命中+Emoji	⏬	⏬	U+23EC	BLACK DOWN-POINTING DOUBLE TRIANGLE	So	Common	Miscellaneous Technical	6.0	true	false	true	true	点,角,方向,对称
8	形态词命中+Emoji	▶	▶	U+25B6	BLACK RIGHT-POINTING TRIANGLE	So	Common	Geometric Shapes	1.1	true	false	true	true	点,角,方向
9	形态词命中+Emoji	◀	◀	U+25C0	BLACK LEFT-POINTING TRIANGLE	So	Common	Geometric Shapes	1.1	true	false	true	true	点,角,方向
10	形态词命中+Emoji	🔁	🔁	U+1F501	CLOCKWISE RIGHTWARDS AND LEFTWARDS OPEN CIRCLE ARROWS	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	圆,方向
11	形态词命中+Emoji	🔂	🔂	U+1F502	CLOCKWISE RIGHTWARDS AND LEFTWARDS OPEN CIRCLE ARROWS WITH CIRCLED ONE OVERLAY	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	圆,方向
12	形态词命中+Emoji	🔃	🔃	U+1F503	CLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	圆,方向
13	形态词命中+Emoji	🔄	🔄	U+1F504	ANTICLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	圆,方向
14	形态词命中+Emoji	🔺	🔺	U+1F53A	UP-POINTING RED TRIANGLE	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	点,角,方向
15	形态词命中+Emoji	🔻	🔻	U+1F53B	DOWN-POINTING RED TRIANGLE	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	点,角,方向
16	形态词命中+Emoji	🔼	🔼	U+1F53C	UP-POINTING SMALL RED TRIANGLE	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	点,角,方向
17	形态词命中+Emoji	🔽	🔽	U+1F53D	DOWN-POINTING SMALL RED TRIANGLE	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	点,角,方向
18	形态词命中+Emoji	🤭	🤭	U+1F92D	SMILING FACE WITH SMILING EYES AND HAND COVERING MOUTH	So	Common	Supplemental Symbols and Pictographs	10.0	true	false	true	true	圆
19	形态词命中+Emoji	🫥	🫥	U+1FAE5	DOTTED LINE FACE	So	Common	Symbols and Pictographs Extended-A	14.0	true	false	true	true	点,线
20	形态词命中	⭶	⭶	U+2B76	NORTH WEST TRIANGLE-HEADED ARROW TO BAR	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	线,角,方向
21	形态词命中	⭷	⭷	U+2B77	NORTH EAST TRIANGLE-HEADED ARROW TO BAR	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	线,角,方向
22	形态词命中	⭸	⭸	U+2B78	SOUTH EAST TRIANGLE-HEADED ARROW TO BAR	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	线,角,方向
23	形态词命中	⭹	⭹	U+2B79	SOUTH WEST TRIANGLE-HEADED ARROW TO BAR	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	线,角,方向
24	形态词命中	⭺	⭺	U+2B7A	LEFTWARDS TRIANGLE-HEADED ARROW WITH DOUBLE HORIZONTAL STROKE	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	线,角,方向,对称
25	形态词命中	⭻	⭻	U+2B7B	UPWARDS TRIANGLE-HEADED ARROW WITH DOUBLE HORIZONTAL STROKE	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	线,角,方向,对称
26	形态词命中	⭼	⭼	U+2B7C	RIGHTWARDS TRIANGLE-HEADED ARROW WITH DOUBLE HORIZONTAL STROKE	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	线,角,方向,对称
27	形态词命中	⭽	⭽	U+2B7D	DOWNWARDS TRIANGLE-HEADED ARROW WITH DOUBLE HORIZONTAL STROKE	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	线,角,方向,对称
28	形态词命中	⮁	⮁	U+2B81	UPWARDS TRIANGLE-HEADED ARROW LEFTWARDS OF DOWNWARDS TRIANGLE-HEADED ARROW	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	角,方向
29	形态词命中	⮃	⮃	U+2B83	DOWNWARDS TRIANGLE-HEADED ARROW LEFTWARDS OF UPWARDS TRIANGLE-HEADED ARROW	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	角,方向
30	形态词命中	𝅐	𝅐	U+1D150	MUSICAL SYMBOL TRIANGLE NOTEHEAD UP RIGHT WHITE	So	Common	Musical Symbols	3.1	false	false	true	true	角,方向
31	形态词命中	𝅑	𝅑	U+1D151	MUSICAL SYMBOL TRIANGLE NOTEHEAD UP RIGHT BLACK	So	Common	Musical Symbols	3.1	false	false	true	true	角,方向
32	形态词命中	𝅔	𝅔	U+1D154	MUSICAL SYMBOL TRIANGLE-ROUND NOTEHEAD DOWN WHITE	So	Common	Musical Symbols	3.1	false	false	true	true	圆,角,方向
33	形态词命中	𝅕	𝅕	U+1D155	MUSICAL SYMBOL TRIANGLE-ROUND NOTEHEAD DOWN BLACK	So	Common	Musical Symbols	3.1	false	false	true	true	圆,角,方向
34	形态词命中+Emoji	⤴	⤴	U+2934	ARROW POINTING RIGHTWARDS THEN CURVING UPWARDS	Sm	Common	Supplemental Arrows-B	3.2	true	false	true	true	点,方向
35	形态词命中+Emoji	⤵	⤵	U+2935	ARROW POINTING RIGHTWARDS THEN CURVING DOWNWARDS	Sm	Common	Supplemental Arrows-B	3.2	true	false	true	true	点,方向
36	形态词命中+Emoji	↕	↕	U+2195	UP DOWN ARROW	So	Common	Arrows	1.1	true	false	true	true	方向
37	形态词命中+Emoji	↖	↖	U+2196	NORTH WEST ARROW	So	Common	Arrows	1.1	true	false	true	true	方向
38	形态词命中+Emoji	↗	↗	U+2197	NORTH EAST ARROW	So	Common	Arrows	1.1	true	false	true	true	方向
39	形态词命中+Emoji	↘	↘	U+2198	SOUTH EAST ARROW	So	Common	Arrows	1.1	true	false	true	true	方向
40	形态词命中+Emoji	↙	↙	U+2199	SOUTH WEST ARROW	So	Common	Arrows	1.1	true	false	true	true	方向
41	形态词命中+Emoji	↩	↩	U+21A9	LEFTWARDS ARROW WITH HOOK	So	Common	Arrows	1.1	true	false	true	true	方向,曲线
42	形态词命中+Emoji	↪	↪	U+21AA	RIGHTWARDS ARROW WITH HOOK	So	Common	Arrows	1.1	true	false	true	true	方向,曲线
43	形态词命中+Emoji	➿	➿	U+27BF	DOUBLE CURLY LOOP	So	Common	Dingbats	6.0	true	false	true	true	对称,曲线
44	形态词命中+Emoji	👆	👆	U+1F446	WHITE UP POINTING BACKHAND INDEX	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	点,方向
45	形态词命中+Emoji	👇	👇	U+1F447	WHITE DOWN POINTING BACKHAND INDEX	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	点,方向
46	形态词命中+Emoji	👈	👈	U+1F448	WHITE LEFT POINTING BACKHAND INDEX	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	点,方向
47	形态词命中+Emoji	👉	👉	U+1F449	WHITE RIGHT POINTING BACKHAND INDEX	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	点,方向
48	形态词命中+Emoji	📲	📲	U+1F4F2	MOBILE PHONE WITH RIGHTWARDS ARROW AT LEFT	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	方向
49	形态词命中+Emoji	🔛	🔛	U+1F51B	ON WITH EXCLAMATION MARK WITH LEFT RIGHT ARROW ABOVE	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	方向
50	形态词命中+Emoji	🔯	🔯	U+1F52F	SIX POINTED STAR WITH MIDDLE DOT	So	Common	Miscellaneous Symbols and Pictographs	6.0	true	false	true	true	点,星芒
51	形态词命中+Emoji	😍	😍	U+1F60D	SMILING FACE WITH HEART-SHAPED EYES	So	Common	Emoticons	6.0	true	false	true	true	曲线
52	形态词命中+Emoji	😻	😻	U+1F63B	SMILING CAT FACE WITH HEART-SHAPED EYES	So	Common	Emoticons	6.0	true	false	true	true	曲线
53	形态词命中+Emoji	🙃	🙃	U+1F643	UPSIDE-DOWN FACE	So	Common	Emoticons	8.0	true	false	true	true	方向
54	形态词命中+Emoji	🤩	🤩	U+1F929	GRINNING FACE WITH STAR EYES	So	Common	Supplemental Symbols and Pictographs	10.0	true	false	true	true	星芒
55	形态词命中+Emoji	🥰	🥰	U+1F970	SMILING FACE WITH SMILING EYES AND THREE HEARTS	So	Common	Supplemental Symbols and Pictographs	11.0	true	false	true	true	曲线
56	形态词命中	╃	╃	U+2543	BOX DRAWINGS LEFT UP HEAVY AND RIGHT DOWN LIGHT	So	Common	Box Drawing	1.1	false	false	true	true	方向,方
57	形态词命中	╄	╄	U+2544	BOX DRAWINGS RIGHT UP HEAVY AND LEFT DOWN LIGHT	So	Common	Box Drawing	1.1	false	false	true	true	方向,方
58	形态词命中	╅	╅	U+2545	BOX DRAWINGS LEFT DOWN HEAVY AND RIGHT UP LIGHT	So	Common	Box Drawing	1.1	false	false	true	true	方向,方
59	形态词命中	╆	╆	U+2546	BOX DRAWINGS RIGHT DOWN HEAVY AND LEFT UP LIGHT	So	Common	Box Drawing	1.1	false	false	true	true	方向,方
60	形态词命中	◬	◬	U+25EC	WHITE UP-POINTING TRIANGLE WITH DOT	So	Common	Geometric Shapes	1.1	false	false	true	true	点,角,方向
61	形态词命中	◭	◭	U+25ED	UP-POINTING TRIANGLE WITH LEFT HALF BLACK	So	Common	Geometric Shapes	1.1	false	false	true	true	点,角,方向
62	形态词命中	◮	◮	U+25EE	UP-POINTING TRIANGLE WITH RIGHT HALF BLACK	So	Common	Geometric Shapes	1.1	false	false	true	true	点,角,方向
63	形态词命中	➟	➟	U+279F	DASHED TRIANGLE-HEADED RIGHTWARDS ARROW	So	Common	Dingbats	1.1	false	false	true	true	线,角,方向
64	形态词命中	➠	➠	U+27A0	HEAVY DASHED TRIANGLE-HEADED RIGHTWARDS ARROW	So	Common	Dingbats	1.1	false	false	true	true	线,角,方向
65	形态词命中	⭞	⭞	U+2B5E	BENT ARROW POINTING DOWNWARDS THEN NORTH EAST	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	点,方向
66	形态词命中	⭟	⭟	U+2B5F	SHORT BENT ARROW POINTING DOWNWARDS THEN NORTH EAST	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	点,方向
67	形态词命中	⭤	⭤	U+2B64	LEFT RIGHT TRIANGLE-HEADED ARROW	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	角,方向
68	形态词命中	⭥	⭥	U+2B65	UP DOWN TRIANGLE-HEADED ARROW	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	角,方向
69	形态词命中	⭦	⭦	U+2B66	NORTH WEST TRIANGLE-HEADED ARROW	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	角,方向
70	形态词命中	⭧	⭧	U+2B67	NORTH EAST TRIANGLE-HEADED ARROW	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	角,方向
71	形态词命中	⭨	⭨	U+2B68	SOUTH EAST TRIANGLE-HEADED ARROW	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	角,方向
72	形态词命中	⭩	⭩	U+2B69	SOUTH WEST TRIANGLE-HEADED ARROW	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	角,方向
73	形态词命中	⭪	⭪	U+2B6A	LEFTWARDS TRIANGLE-HEADED DASHED ARROW	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	线,角,方向
74	形态词命中	⭫	⭫	U+2B6B	UPWARDS TRIANGLE-HEADED DASHED ARROW	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	线,角,方向
75	形态词命中	⭬	⭬	U+2B6C	RIGHTWARDS TRIANGLE-HEADED DASHED ARROW	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	线,角,方向
76	形态词命中	⭭	⭭	U+2B6D	DOWNWARDS TRIANGLE-HEADED DASHED ARROW	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	线,角,方向
77	形态词命中	⭰	⭰	U+2B70	LEFTWARDS TRIANGLE-HEADED ARROW TO BAR	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	线,角,方向
78	形态词命中	⭱	⭱	U+2B71	UPWARDS TRIANGLE-HEADED ARROW TO BAR	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	线,角,方向
79	形态词命中	⭲	⭲	U+2B72	RIGHTWARDS TRIANGLE-HEADED ARROW TO BAR	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	线,角,方向
80	形态词命中	⭳	⭳	U+2B73	DOWNWARDS TRIANGLE-HEADED ARROW TO BAR	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	线,角,方向
81	形态词命中	⮀	⮀	U+2B80	LEFTWARDS TRIANGLE-HEADED ARROW OVER RIGHTWARDS TRIANGLE-HEADED ARROW	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	角,方向
82	形态词命中	⮂	⮂	U+2B82	RIGHTWARDS TRIANGLE-HEADED ARROW OVER LEFTWARDS TRIANGLE-HEADED ARROW	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	角,方向
83	形态词命中	⮠	⮠	U+2BA0	DOWNWARDS TRIANGLE-HEADED ARROW WITH LONG TIP LEFTWARDS	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	角,方向
84	形态词命中	⮡	⮡	U+2BA1	DOWNWARDS TRIANGLE-HEADED ARROW WITH LONG TIP RIGHTWARDS	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	角,方向
85	形态词命中	⮢	⮢	U+2BA2	UPWARDS TRIANGLE-HEADED ARROW WITH LONG TIP LEFTWARDS	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	角,方向
86	形态词命中	⮣	⮣	U+2BA3	UPWARDS TRIANGLE-HEADED ARROW WITH LONG TIP RIGHTWARDS	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	角,方向
87	形态词命中	⮤	⮤	U+2BA4	LEFTWARDS TRIANGLE-HEADED ARROW WITH LONG TIP UPWARDS	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	角,方向
88	形态词命中	⮥	⮥	U+2BA5	RIGHTWARDS TRIANGLE-HEADED ARROW WITH LONG TIP UPWARDS	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	角,方向
89	形态词命中	⮦	⮦	U+2BA6	LEFTWARDS TRIANGLE-HEADED ARROW WITH LONG TIP DOWNWARDS	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	角,方向
90	形态词命中	⮧	⮧	U+2BA7	RIGHTWARDS TRIANGLE-HEADED ARROW WITH LONG TIP DOWNWARDS	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	角,方向
91	形态词命中	⮹	⮹	U+2BB9	UP ARROWHEAD IN A RECTANGLE BOX	So	Common	Miscellaneous Symbols and Arrows	7.0	false	false	true	true	角,方向,方
92	形态词命中	𝅈	𝅈	U+1D148	MUSICAL SYMBOL TRIANGLE NOTEHEAD UP WHITE	So	Common	Musical Symbols	3.1	false	false	true	true	角,方向
93	形态词命中	𝅉	𝅉	U+1D149	MUSICAL SYMBOL TRIANGLE NOTEHEAD UP BLACK	So	Common	Musical Symbols	3.1	false	false	true	true	角,方向
94	形态词命中	𝅊	𝅊	U+1D14A	MUSICAL SYMBOL TRIANGLE NOTEHEAD LEFT WHITE	So	Common	Musical Symbols	3.1	false	false	true	true	角,方向
95	形态词命中	𝅋	𝅋	U+1D14B	MUSICAL SYMBOL TRIANGLE NOTEHEAD LEFT BLACK	So	Common	Musical Symbols	3.1	false	false	true	true	角,方向
96	形态词命中	𝅌	𝅌	U+1D14C	MUSICAL SYMBOL TRIANGLE NOTEHEAD RIGHT WHITE	So	Common	Musical Symbols	3.1	false	false	true	true	角,方向
97	形态词命中	𝅍	𝅍	U+1D14D	MUSICAL SYMBOL TRIANGLE NOTEHEAD RIGHT BLACK	So	Common	Musical Symbols	3.1	false	false	true	true	角,方向
98	形态词命中	𝅎	𝅎	U+1D14E	MUSICAL SYMBOL TRIANGLE NOTEHEAD DOWN WHITE	So	Common	Musical Symbols	3.1	false	false	true	true	角,方向
