char	codepoint	unicode_name	category	block	prefix	visual_cluster	main_key	main_shape	preferred_state_key	state_cluster	state_key	state_shape	input_code	classification_reason	rebalanced	cluster_distance	aspect	density	source	status	algorithm
Ա	U+0531	ARMENIAN CAPITAL LETTER AYB	Lu	armenian	as	5	g	动物有机体	s	0	s	对称	asgs	armenian视觉聚类C5;状态组S0	false	0.628086	1.1667	0.2233	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0530-u058f-armenian.md	machine-initial-v1	visual-balanced-unicode-block-v1
Բ	U+0532	ARMENIAN CAPITAL LETTER BEN	Lu	armenian	as	2	y	分叉翼形	s	0	s	对称	asys	armenian视觉聚类C2;状态组S0	false	0.336334	1.0000	0.1986	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0530-u058f-armenian.md	machine-initial-v1	visual-balanced-unicode-block-v1
Գ	U+0533	ARMENIAN CAPITAL LETTER GIM	Lu	armenian	as	11	w	波浪流线	s	1	o	外包	aswo	armenian视觉聚类C11;状态组S1	true	0.789750	1.0667	0.2102	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0530-u058f-armenian.md	machine-initial-v1	visual-balanced-unicode-block-v1
Դ	U+0534	ARMENIAN CAPITAL LETTER DA	Lu	armenian	as	17	j	钩弯	s	0	s	对称	asjs	armenian视觉聚类C17;状态组S0	false	0.928899	1.0500	0.1751	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0530-u058f-armenian.md	machine-initial-v1	visual-balanced-unicode-block-v1
Ե	U+0535	ARMENIAN CAPITAL LETTER ECH	Lu	armenian	as	17	j	钩弯	s	1	g	缺口开放	asjg	armenian视觉聚类C17;状态组S1	true	0.444694	1.0167	0.1913	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0530-u058f-armenian.md	machine-initial-v1	visual-balanced-unicode-block-v1
Զ	U+0536	ARMENIAN CAPITAL LETTER ZA	Lu	armenian	as	10	t	三角尖形	s	0	s	对称	asts	armenian视觉聚类C10;状态组S0	false	0.310183	0.9180	0.2456	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0530-u058f-armenian.md	machine-initial-v1	visual-balanced-unicode-block-v1
Է	U+0537	ARMENIAN CAPITAL LETTER EH	Lu	armenian	as	18	p	螺旋回环	s	1	x	穿过交叠	aspx	armenian视觉聚类C18;状态组S1	true	0.187928	0.8182	0.1773	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0530-u058f-armenian.md	machine-initial-v1	visual-balanced-unicode-block-v1
Ը	U+0538	ARMENIAN CAPITAL LETTER ET	Lu	armenian	as	0	x	交叉	s	1	s	对称	asxs	armenian视觉聚类C0;状态组S1	false	0.262408	0.8281	0.1925	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0530-u058f-armenian.md	machine-initial-v1	visual-balanced-unicode-block-v1
Թ	U+0539	ARMENIAN CAPITAL LETTER TO	Lu	armenian	as	10	t	三角尖形	s	0	s	对称	asts	armenian视觉聚类C10;状态组S0	false	0.442538	1.2000	0.2354	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0530-u058f-armenian.md	machine-initial-v1	visual-balanced-unicode-block-v1
Ժ	U+053A	ARMENIAN CAPITAL LETTER ZHE	Lu	armenian	as	9	o	圆环	s	1	s	对称	asos	armenian视觉聚类C9;状态组S1	false	0.748915	1.0667	0.2049	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0530-u058f-armenian.md	machine-initial-v1	visual-balanced-unicode-block-v1
Ի	U+053B	ARMENIAN CAPITAL LETTER INI	Lu	armenian	as	2	y	分叉翼形	s	0	s	对称	asys	armenian视觉聚类C2;状态组S0	false	0.361441	0.9492	0.1992	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0530-u058f-armenian.md	machine-initial-v1	visual-balanced-unicode-block-v1
Լ	U+053C	ARMENIAN CAPITAL LETTER LIWN	Lu	armenian	as	18	p	螺旋回环	s	1	x	穿过交叠	aspx	armenian视觉聚类C18;状态组S1	true	0.133969	0.7879	0.1509	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0530-u058f-armenian.md	machine-initial-v1	visual-balanced-unicode-block-v1
Խ	U+053D	ARMENIAN CAPITAL LETTER XEH	Lu	armenian	as	8	m	复合	s	0	s	对称	asms	armenian视觉聚类C8;状态组S0	false	0.000000	1.1356	0.2383	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0530-u058f-armenian.md	machine-initial-v1	visual-balanced-unicode-block-v1
Ծ	U+053E	ARMENIAN CAPITAL LETTER CA	Lu	armenian	as	16	d	点状	s	0	s	对称	asds	armenian视觉聚类C16;状态组S0	false	0.483622	1.0159	0.2245	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0530-u058f-armenian.md	machine-initial-v1	visual-balanced-unicode-block-v1
Կ	U+053F	ARMENIAN CAPITAL LETTER KEN	Lu	armenian	as	16	d	点状	s	1	x	穿过交叠	asdx	armenian视觉聚类C16;状态组S1	true	0.592934	1.0508	0.1987	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0530-u058f-armenian.md	machine-initial-v1	visual-balanced-unicode-block-v1
Հ	U+0540	ARMENIAN CAPITAL LETTER HO	Lu	armenian	as	18	p	螺旋回环	s	0	s	对称	asps	armenian视觉聚类C18;状态组S0	false	0.278666	0.6812	0.1563	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0530-u058f-armenian.md	machine-initial-v1	visual-balanced-unicode-block-v1
Ձ	U+0541	ARMENIAN CAPITAL LETTER JA	Lu	armenian	as	0	x	交叉	s	0	x	穿过交叠	asxx	armenian视觉聚类C0;状态组S0	true	0.305534	0.9344	0.2209	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0530-u058f-armenian.md	machine-initial-v1	visual-balanced-unicode-block-v1
Ղ	U+0542	ARMENIAN CAPITAL LETTER GHAD	Lu	armenian	as	5	g	动物有机体	s	1	q	倾斜	asgq	armenian视觉聚类C5;状态组S1	true	0.927863	0.9403	0.1500	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0530-u058f-armenian.md	machine-initial-v1	visual-balanced-unicode-block-v1
Ճ	U+0543	ARMENIAN CAPITAL LETTER CHEH	Lu	armenian	as	9	o	圆环	s	0	o	外包	asoo	armenian视觉聚类C9;状态组S0	true	0.423607	0.9677	0.2102	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0530-u058f-armenian.md	machine-initial-v1	visual-balanced-unicode-block-v1
Մ	U+0544	ARMENIAN CAPITAL LETTER MEN	Lu	armenian	as	16	d	点状	s	1	x	穿过交叠	asdx	armenian视觉聚类C16;状态组S1	true	0.504853	1.1833	0.2117	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0530-u058f-armenian.md	machine-initial-v1	visual-balanced-unicode-block-v1
Յ	U+0545	ARMENIAN CAPITAL LETTER YI	Lu	armenian	as	11	w	波浪流线	s	1	o	外包	aswo	armenian视觉聚类C11;状态组S1	true	0.194286	0.8361	0.2369	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0530-u058f-armenian.md	machine-initial-v1	visual-balanced-unicode-block-v1
Ն	U+0546	ARMENIAN CAPITAL LETTER NOW	Lu	armenian	as	12	k	绳结	s	1	s	对称	asks	armenian视觉聚类C12;状态组S1	false	0.714157	1.0167	0.1574	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0530-u058f-armenian.md	machine-initial-v1	visual-balanced-unicode-block-v1
Շ	U+0547	ARMENIAN CAPITAL LETTER SHA	Lu	armenian	as	16	d	点状	s	0	s	对称	asds	armenian视觉聚类C16;状态组S0	false	0.424759	0.9333	0.2196	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0530-u058f-armenian.md	machine-initial-v1	visual-balanced-unicode-block-v1
Ո	U+0548	ARMENIAN CAPITAL LETTER VO	Lu	armenian	as	0	x	交叉	s	1	s	对称	asxs	armenian视觉聚类C0;状态组S1	false	0.436678	1.1167	0.2095	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0530-u058f-armenian.md	machine-initial-v1	visual-balanced-unicode-block-v1
Չ	U+0549	ARMENIAN CAPITAL LETTER CHA	Lu	armenian	as	0	x	交叉	s	0	x	穿过交叠	asxx	armenian视觉聚类C0;状态组S0	true	0.299319	0.8833	0.2025	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0530-u058f-armenian.md	machine-initial-v1	visual-balanced-unicode-block-v1
Պ	U+054A	ARMENIAN CAPITAL LETTER PEH	Lu	armenian	as	10	c	曲弧	s	1	g	缺口开放	ascg	用户锚点：Պ=ascg	true	0.832094	1.0484	0.2045	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0530-u058f-armenian.md	machine-initial-v1	visual-balanced-unicode-block-v1
Ջ	U+054B	ARMENIAN CAPITAL LETTER JHEH	Lu	armenian	as	10	t	三角尖形	s	0	s	对称	asts	armenian视觉聚类C10;状态组S0	false	0.293073	0.9508	0.2374	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0530-u058f-armenian.md	machine-initial-v1	visual-balanced-unicode-block-v1
Ռ	U+054C	ARMENIAN CAPITAL LETTER RA	Lu	armenian	as	10	t	三角尖形	s	0	s	对称	asts	armenian视觉聚类C10;状态组S0	false	0.491856	1.2000	0.2125	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0530-u058f-armenian.md	machine-initial-v1	visual-balanced-unicode-block-v1
Ս	U+054D	ARMENIAN CAPITAL LETTER SEH	Lu	armenian	as	15	u	容器U形	s	1	s	对称	asus	armenian视觉聚类C15;状态组S1	false	1.043439	1.1167	0.2107	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0530-u058f-armenian.md	machine-initial-v1	visual-balanced-unicode-block-v1
Վ	U+054E	ARMENIAN CAPITAL LETTER VEW	Lu	armenian	as	9	o	圆环	s	1	s	对称	asos	armenian视觉聚类C9;状态组S1	false	0.508064	0.9848	0.1741	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0530-u058f-armenian.md	machine-initial-v1	visual-balanced-unicode-block-v1
Տ	U+054F	ARMENIAN CAPITAL LETTER TIWN	Lu	armenian	as	11	w	波浪流线	s	1	o	外包	aswo	armenian视觉聚类C11;状态组S1	true	0.225585	0.7869	0.2312	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0530-u058f-armenian.md	machine-initial-v1	visual-balanced-unicode-block-v1
Ր	U+0550	ARMENIAN CAPITAL LETTER REH	Lu	armenian	as	2	y	分叉翼形	s	0	s	对称	asys	armenian视觉聚类C2;状态组S0	false	0.250568	0.9500	0.1646	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0530-u058f-armenian.md	machine-initial-v1	visual-balanced-unicode-block-v1
Ց	U+0551	ARMENIAN CAPITAL LETTER CO	Lu	armenian	as	11	w	波浪流线	s	1	o	外包	aswo	armenian视觉聚类C11;状态组S1	true	0.249073	0.8525	0.2254	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0530-u058f-armenian.md	machine-initial-v1	visual-balanced-unicode-block-v1
Ւ	U+0552	ARMENIAN CAPITAL LETTER YIWN	Lu	armenian	as	17	j	钩弯	s	0	s	对称	asjs	armenian视觉聚类C17;状态组S0	false	0.364099	1.0169	0.1893	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0530-u058f-armenian.md	machine-initial-v1	visual-balanced-unicode-block-v1
Փ	U+0553	ARMENIAN CAPITAL LETTER PIWR	Lu	armenian	as	14	f	人物轮廓	s	1	s	对称	asfs	armenian视觉聚类C14;状态组S1	false	0.537437	1.1017	0.2415	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0530-u058f-armenian.md	machine-initial-v1	visual-balanced-unicode-block-v1
