char	codepoint	unicode_name	category	block	prefix	visual_cluster	main_key	main_shape	preferred_state_key	state_cluster	state_key	state_shape	input_code	classification_reason	rebalanced	cluster_distance	aspect	density	source	status	algorithm
ஂ	U+0B82	TAMIL SIGN ANUSVARA	Mn	tamil	pi	14	f	人物轮廓	s	1	s	对称	pifs	tamil视觉聚类C14;状态组S1	false	0.690508	0.6301	0.0497	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
ஃ	U+0B83	TAMIL SIGN VISARGA	Lo	tamil	pi	14	f	人物轮廓	s	1	s	对称	pifs	tamil视觉聚类C14;状态组S1	false	0.717703	1.2037	0.2362	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
அ	U+0B85	TAMIL LETTER A	Lo	tamil	pi	9	o	圆环	s	1	o	外包	pioo	tamil视觉聚类C9;状态组S1	true	0.361123	1.5079	0.2628	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
ஆ	U+0B86	TAMIL LETTER AA	Lo	tamil	pi	14	c	曲弧	s	1	i	内含	pici	用户锚点：ஆ=pici	false	0.658945	1.6029	0.2690	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
இ	U+0B87	TAMIL LETTER I	Lo	tamil	pi	7	r	放射星芒	s	1	f	实心高填充	pirf	tamil视觉聚类C7;状态组S1	true	0.695586	1.1000	0.3223	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
ஈ	U+0B88	TAMIL LETTER II	Lo	tamil	pi	12	k	绳结	s	1	x	穿过交叠	pikx	tamil视觉聚类C12;状态组S1	true	0.494541	1.3922	0.2519	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
உ	U+0B89	TAMIL LETTER U	Lo	tamil	pi	4	n	成列成排	s	0	w	宽展	pinw	tamil视觉聚类C4;状态组S0	true	0.305667	1.7547	0.2284	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
ஊ	U+0B8A	TAMIL LETTER UU	Lo	tamil	pi	0	x	交叉	h	0	h	横向	pixh	tamil视觉聚类C0;状态组S0	false	0.205333	2.2830	0.3381	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
எ	U+0B8E	TAMIL LETTER E	Lo	tamil	pi	5	g	动物有机体	s	1	s	对称	pigs	tamil视觉聚类C5;状态组S1	false	0.211402	1.4038	0.2503	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
ஏ	U+0B8F	TAMIL LETTER EE	Lo	tamil	pi	11	w	波浪流线	s	1	s	对称	piws	tamil视觉聚类C11;状态组S1	false	0.645430	1.0896	0.2220	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
