char	codepoint	unicode_name	category	block	prefix	visual_cluster	main_key	main_shape	preferred_state_key	state_cluster	state_key	state_shape	input_code	classification_reason	rebalanced	cluster_distance	aspect	density	source	status	algorithm
⦀	U+2980	TRIPLE VERTICAL BAR DELIMITER	Sm	math-symbols-b	dd	23	h	枝杈	s	0	s	对称	ddhs	math-symbols-b视觉聚类C23;状态组S0	false	0.458287	0.8485	0.2825	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u2980-u29ff-miscellaneous-mathematical-symbols-b.md	machine-initial-v1	visual-balanced-unicode-block-v1
⦁	U+2981	Z NOTATION SPOT	Sm	math-symbols-b	dd	0	x	交叉	s	0	x	穿过交叠	ddxx	math-symbols-b视觉聚类C0;状态组S0	true	0.693721	1.0250	0.2104	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u2980-u29ff-miscellaneous-mathematical-symbols-b.md	machine-initial-v1	visual-balanced-unicode-block-v1
⦂	U+2982	Z NOTATION TYPE COLON	Sm	math-symbols-b	dd	23	h	枝杈	s	1	x	穿过交叠	ddhx	math-symbols-b视觉聚类C23;状态组S1	true	0.364782	0.7347	0.1689	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u2980-u29ff-miscellaneous-mathematical-symbols-b.md	machine-initial-v1	visual-balanced-unicode-block-v1
⦃	U+2983	LEFT WHITE CURLY BRACKET	Ps	math-symbols-b	dd	7	r	放射星芒	s	1	s	对称	ddrs	math-symbols-b视觉聚类C7;状态组S1	false	0.501292	0.4937	0.1986	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u2980-u29ff-miscellaneous-mathematical-symbols-b.md	machine-initial-v1	visual-balanced-unicode-block-v1
⦄	U+2984	RIGHT WHITE CURLY BRACKET	Pe	math-symbols-b	dd	13	v	开口V形	s	0	s	对称	ddvs	math-symbols-b视觉聚类C13;状态组S0	false	0.132189	0.4937	0.1980	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u2980-u29ff-miscellaneous-mathematical-symbols-b.md	machine-initial-v1	visual-balanced-unicode-block-v1
⦅	U+2985	LEFT WHITE PARENTHESIS	Ps	math-symbols-b	dd	22	s	方框	s	0	s	对称	ddss	math-symbols-b视觉聚类C22;状态组S0	false	0.293356	0.5316	0.1739	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u2980-u29ff-miscellaneous-mathematical-symbols-b.md	machine-initial-v1	visual-balanced-unicode-block-v1
⦆	U+2986	RIGHT WHITE PARENTHESIS	Pe	math-symbols-b	dd	9	o	圆环	s	1	s	对称	ddos	math-symbols-b视觉聚类C9;状态组S1	false	0.173514	0.5316	0.1757	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u2980-u29ff-miscellaneous-mathematical-symbols-b.md	machine-initial-v1	visual-balanced-unicode-block-v1
⦇	U+2987	Z NOTATION LEFT IMAGE BRACKET	Ps	math-symbols-b	dd	9	o	圆环	s	1	s	对称	ddos	math-symbols-b视觉聚类C9;状态组S1	false	0.207201	0.6190	0.1758	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u2980-u29ff-miscellaneous-mathematical-symbols-b.md	machine-initial-v1	visual-balanced-unicode-block-v1
⦈	U+2988	Z NOTATION RIGHT IMAGE BRACKET	Pe	math-symbols-b	dd	9	o	圆环	s	1	s	对称	ddos	math-symbols-b视觉聚类C9;状态组S1	false	0.201076	0.6190	0.1766	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u2980-u29ff-miscellaneous-mathematical-symbols-b.md	machine-initial-v1	visual-balanced-unicode-block-v1
⦉	U+2989	Z NOTATION LEFT BINDING BRACKET	Ps	math-symbols-b	dd	2	y	分叉翼形	s	1	s	对称	ddys	math-symbols-b视觉聚类C2;状态组S1	false	0.764285	0.5873	0.1677	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u2980-u29ff-miscellaneous-mathematical-symbols-b.md	machine-initial-v1	visual-balanced-unicode-block-v1
⦊	U+298A	Z NOTATION RIGHT BINDING BRACKET	Pe	math-symbols-b	dd	24	c	曲弧	s	0	s	对称	ddcs	math-symbols-b视觉聚类C24;状态组S0	false	0.210568	0.5873	0.1682	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u2980-u29ff-miscellaneous-mathematical-symbols-b.md	machine-initial-v1	visual-balanced-unicode-block-v1
⦋	U+298B	LEFT SQUARE BRACKET WITH UNDERBAR	Ps	math-symbols-b	dd	13	v	开口V形	s	1	v	纵向	ddvv	math-symbols-b视觉聚类C13;状态组S1	true	0.067178	0.4070	0.2020	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u2980-u29ff-miscellaneous-mathematical-symbols-b.md	machine-initial-v1	visual-balanced-unicode-block-v1
⦌	U+298C	RIGHT SQUARE BRACKET WITH UNDERBAR	Pe	math-symbols-b	dd	22	s	方框	s	1	n	狭长	ddsn	math-symbols-b视觉聚类C22;状态组S1	true	0.043268	0.4070	0.1804	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u2980-u29ff-miscellaneous-mathematical-symbols-b.md	machine-initial-v1	visual-balanced-unicode-block-v1
⦍	U+298D	LEFT SQUARE BRACKET WITH TICK IN TOP CORNER	Ps	math-symbols-b	dd	13	v	开口V形	s	1	v	纵向	ddvv	math-symbols-b视觉聚类C13;状态组S1	true	0.066096	0.4430	0.2148	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u2980-u29ff-miscellaneous-mathematical-symbols-b.md	machine-initial-v1	visual-balanced-unicode-block-v1
⦎	U+298E	RIGHT SQUARE BRACKET WITH TICK IN BOTTOM CORNER	Pe	math-symbols-b	dd	22	s	方框	s	1	n	狭长	ddsn	math-symbols-b视觉聚类C22;状态组S1	true	0.039074	0.4430	0.1899	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u2980-u29ff-miscellaneous-mathematical-symbols-b.md	machine-initial-v1	visual-balanced-unicode-block-v1
⦏	U+298F	LEFT SQUARE BRACKET WITH TICK IN BOTTOM CORNER	Ps	math-symbols-b	dd	13	v	开口V形	s	1	v	纵向	ddvv	math-symbols-b视觉聚类C13;状态组S1	true	0.064117	0.4430	0.2163	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u2980-u29ff-miscellaneous-mathematical-symbols-b.md	machine-initial-v1	visual-balanced-unicode-block-v1
⦐	U+2990	RIGHT SQUARE BRACKET WITH TICK IN TOP CORNER	Pe	math-symbols-b	dd	22	s	方框	s	1	n	狭长	ddsn	math-symbols-b视觉聚类C22;状态组S1	true	0.044781	0.4430	0.1913	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u2980-u29ff-miscellaneous-mathematical-symbols-b.md	machine-initial-v1	visual-balanced-unicode-block-v1
⦑	U+2991	LEFT ANGLE BRACKET WITH DOT	Ps	math-symbols-b	dd	3	i	细柱	s	1	s	对称	ddis	math-symbols-b视觉聚类C3;状态组S1	false	0.364152	0.4675	0.1688	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u2980-u29ff-miscellaneous-mathematical-symbols-b.md	machine-initial-v1	visual-balanced-unicode-block-v1
⦒	U+2992	RIGHT ANGLE BRACKET WITH DOT	Pe	math-symbols-b	dd	19	a	角折	s	0	s	对称	ddas	math-symbols-b视觉聚类C19;状态组S0	false	0.302918	0.4675	0.1696	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u2980-u29ff-miscellaneous-mathematical-symbols-b.md	machine-initial-v1	visual-balanced-unicode-block-v1
⦓	U+2993	LEFT ARC LESS-THAN BRACKET	Ps	math-symbols-b	dd	18	p	螺旋回环	s	1	s	对称	ddps	math-symbols-b视觉聚类C18;状态组S1	false	0.186009	0.7222	0.1559	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u2980-u29ff-miscellaneous-mathematical-symbols-b.md	machine-initial-v1	visual-balanced-unicode-block-v1
⦔	U+2994	RIGHT ARC GREATER-THAN BRACKET	Pe	math-symbols-b	dd	24	c	曲弧	s	0	s	对称	ddcs	math-symbols-b视觉聚类C24;状态组S0	false	0.206059	0.7222	0.1561	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u2980-u29ff-miscellaneous-mathematical-symbols-b.md	machine-initial-v1	visual-balanced-unicode-block-v1
⦕	U+2995	DOUBLE LEFT ARC GREATER-THAN BRACKET	Ps	math-symbols-b	dd	16	d	点状	s	0	o	外包	dddo	math-symbols-b视觉聚类C16;状态组S0	true	0.365057	0.7222	0.2294	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u2980-u29ff-miscellaneous-mathematical-symbols-b.md	machine-initial-v1	visual-balanced-unicode-block-v1
⦖	U+2996	DOUBLE RIGHT ARC LESS-THAN BRACKET	Pe	math-symbols-b	dd	16	d	点状	s	1	s	对称	ddds	math-symbols-b视觉聚类C16;状态组S1	false	0.366168	0.7333	0.2259	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u2980-u29ff-miscellaneous-mathematical-symbols-b.md	machine-initial-v1	visual-balanced-unicode-block-v1
⦗	U+2997	LEFT BLACK TORTOISE SHELL BRACKET	Ps	math-symbols-b	dd	13	v	开口V形	s	1	v	纵向	ddvv	math-symbols-b视觉聚类C13;状态组S1	true	0.136659	0.4302	0.2615	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u2980-u29ff-miscellaneous-mathematical-symbols-b.md	machine-initial-v1	visual-balanced-unicode-block-v1
⦘	U+2998	RIGHT BLACK TORTOISE SHELL BRACKET	Pe	math-symbols-b	dd	22	s	方框	s	0	s	对称	ddss	math-symbols-b视觉聚类C22;状态组S0	false	0.075632	0.4302	0.2407	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u2980-u29ff-miscellaneous-mathematical-symbols-b.md	machine-initial-v1	visual-balanced-unicode-block-v1
⦙	U+2999	DOTTED FENCE	Sm	math-symbols-b	dd	15	u	容器U形	s	1	v	纵向	dduv	math-symbols-b视觉聚类C15;状态组S1	true	0.083710	0.4688	0.1099	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u2980-u29ff-miscellaneous-mathematical-symbols-b.md	machine-initial-v1	visual-balanced-unicode-block-v1
⦚	U+299A	VERTICAL ZIGZAG LINE	Sm	math-symbols-b	dd	15	u	容器U形	s	1	v	纵向	dduv	math-symbols-b视觉聚类C15;状态组S1	true	0.085149	0.4545	0.1369	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u2980-u29ff-miscellaneous-mathematical-symbols-b.md	machine-initial-v1	visual-balanced-unicode-block-v1
⦛	U+299B	MEASURED ANGLE OPENING LEFT	Sm	math-symbols-b	dd	25	q	其他	s	0	s	对称	ddqs	math-symbols-b视觉聚类C25;状态组S0	false	0.330485	0.9667	0.1963	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u2980-u29ff-miscellaneous-mathematical-symbols-b.md	machine-initial-v1	visual-balanced-unicode-block-v1
⦜	U+299C	RIGHT ANGLE VARIANT WITH SQUARE	Sm	math-symbols-b	dd	4	n	成列成排	s	1	o	外包	ddno	math-symbols-b视觉聚类C4;状态组S1	true	0.470393	1.2157	0.1771	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u2980-u29ff-miscellaneous-mathematical-symbols-b.md	machine-initial-v1	visual-balanced-unicode-block-v1
