char	codepoint	unicode_name	category	block	prefix	visual_cluster	main_key	main_shape	preferred_state_key	state_cluster	state_key	state_shape	input_code	classification_reason	rebalanced	cluster_distance	aspect	density	source	status	algorithm
𒀀	U+12000	CUNEIFORM SIGN A	Lo	cuneiform	mv	7	r	放射星芒	s	2	s	对称	mvrs	cuneiform视觉聚类C7;状态组S2	false	1.093123	0.8571	0.1948	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒀁	U+12001	CUNEIFORM SIGN A TIMES A	Lo	cuneiform	mv	18	p	螺旋回环	s	0	m	重复多部件	mvpm	cuneiform视觉聚类C18;状态组S0	true	1.571200	1.2286	0.2233	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒀂	U+12002	CUNEIFORM SIGN A TIMES BAD	Lo	cuneiform	mv	18	p	螺旋回环	s	1	x	穿过交叠	mvpx	cuneiform视觉聚类C18;状态组S1	true	0.754408	1.2571	0.1825	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒀃	U+12003	CUNEIFORM SIGN A TIMES GAN2 TENU	Lo	cuneiform	mv	18	p	螺旋回环	s	1	x	穿过交叠	mvpx	cuneiform视觉聚类C18;状态组S1	true	0.546324	1.4000	0.2484	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒀄	U+12004	CUNEIFORM SIGN A TIMES HA	Lo	cuneiform	mv	14	f	人物轮廓	s	1	g	缺口开放	mvfg	cuneiform视觉聚类C14;状态组S1	true	0.488280	1.4714	0.2230	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒀅	U+12005	CUNEIFORM SIGN A TIMES IGI	Lo	cuneiform	mv	18	p	螺旋回环	s	1	x	穿过交叠	mvpx	cuneiform视觉聚类C18;状态组S1	true	0.563343	1.3286	0.2131	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒀆	U+12006	CUNEIFORM SIGN A TIMES LAGAR GUNU	Lo	cuneiform	mv	25	q	其他	s	0	p	成对	mvqp	cuneiform视觉聚类C25;状态组S0	true	0.421005	1.5429	0.2687	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒀇	U+12007	CUNEIFORM SIGN A TIMES MUSH	Lo	cuneiform	mv	25	q	其他	s	0	p	成对	mvqp	cuneiform视觉聚类C25;状态组S0	true	0.319394	1.7714	0.2224	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒀈	U+12008	CUNEIFORM SIGN A TIMES SAG	Lo	cuneiform	mv	25	q	其他	s	0	p	成对	mvqp	cuneiform视觉聚类C25;状态组S0	true	0.372093	1.6000	0.2657	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒀉	U+12009	CUNEIFORM SIGN A2	Lo	cuneiform	mv	14	f	人物轮廓	s	1	g	缺口开放	mvfg	cuneiform视觉聚类C14;状态组S1	true	0.409424	1.4444	0.3235	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
