char	codepoint	unicode_name	gardiner	prefix	visual_cluster	main_key	main_shape	preferred_state_key	state_cluster	state_key	state_shape	input_code	classification_reason	rebalanced	cluster_distance	aspect	density	components	largest_hole_ratio	vertical_symmetry	horizontal_symmetry	source	status	algorithm
𓀀	U+13000	EGYPTIAN HIEROGLYPH A001	A001	jj	14	f	人物轮廓	s	7	c	闭合	jjfc	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C14→f;族内视觉组S7;组状态首选s;唯一键平衡→c	true	0.343164	0.8229	0.1656	1	0.1030	0.7629	0.7453	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀁	U+13001	EGYPTIAN HIEROGLYPH A002	A002	jj	14	f	人物轮廓	s	7	c	闭合	jjfc	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C14→f;族内视觉组S7;组状态首选s;唯一键平衡→c	true	0.353680	0.8125	0.1668	1	0.1279	0.7674	0.7465	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀂	U+13002	EGYPTIAN HIEROGLYPH A003	A003	jj	14	f	人物轮廓	s	0	x	穿过交叠	jjfx	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C14→f;族内视觉组S0;组状态首选s;唯一键平衡→x	true	0.360740	0.8229	0.1570	1	0.0926	0.7743	0.7518	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀃	U+13003	EGYPTIAN HIEROGLYPH A004	A004	jj	14	f	人物轮廓	s	5	a	偏置不对称	jjfa	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C14→f;族内视觉组S5;组状态首选s;唯一键平衡→a	true	0.377474	0.7708	0.1858	1	0.0749	0.7534	0.7100	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀄	U+13004	EGYPTIAN HIEROGLYPH A005	A005	jj	12	k	绳结	s	2	m	重复多部件	jjkm	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C12→k;族内视觉组S2;组状态首选s;唯一键平衡→m	true	0.545341	0.8125	0.1795	2	0.0422	0.7388	0.7276	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀅	U+13005	EGYPTIAN HIEROGLYPH A005A	A005a	jj	14	f	人物轮廓	s	4	w	宽展	jjfw	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C14→f;族内视觉组S4;组状态首选s;唯一键平衡→w	true	0.544937	0.7917	0.2026	2	0.0507	0.7385	0.7067	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀆	U+13006	EGYPTIAN HIEROGLYPH A006	A006	jj	14	f	人物轮廓	s	4	w	宽展	jjfw	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C14→f;族内视觉组S4;组状态首选s;唯一键平衡→w	true	0.482152	0.8021	0.1929	1	0.0472	0.7457	0.7056	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀇	U+13007	EGYPTIAN HIEROGLYPH A006A	A006a	jj	8	m	复合	s	0	b	下重	jjmb	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C8→m;族内视觉组S0;组状态首选s;唯一键平衡→b	true	0.560849	0.8854	0.1741	2	0.0418	0.7375	0.7189	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀈	U+13008	EGYPTIAN HIEROGLYPH A006B	A006b	jj	8	m	复合	s	0	b	下重	jjmb	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C8→m;族内视觉组S0;组状态首选s;唯一键平衡→b	true	0.564169	0.8854	0.1630	2	0.0415	0.7507	0.7397	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀉	U+13009	EGYPTIAN HIEROGLYPH A007	A007	jj	8	m	复合	s	0	b	下重	jjmb	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C8→m;族内视觉组S0;组状态首选s;唯一键平衡→b	true	0.555741	1.0208	0.1362	1	0.0987	0.7689	0.7672	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀊	U+1300A	EGYPTIAN HIEROGLYPH A008	A008	jj	12	k	绳结	s	4	x	穿过交叠	jjkx	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C12→k;族内视觉组S4;组状态首选s;唯一键平衡→x	true	0.547650	0.8646	0.1453	1	0.0855	0.7771	0.7610	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀋	U+1300B	EGYPTIAN HIEROGLYPH A009	A009	jj	14	f	人物轮廓	s	7	c	闭合	jjfc	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C14→f;族内视觉组S7;组状态首选s;唯一键平衡→c	true	0.381954	0.7292	0.1787	1	0.1064	0.7461	0.7336	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀌	U+1300C	EGYPTIAN HIEROGLYPH A010	A010	jj	7	r	放射星芒	s	3	c	闭合	jjrc	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C7→r;族内视觉组S3;组状态首选s;唯一键平衡→c	true	0.714517	0.9583	0.1847	2	0.0877	0.7140	0.7298	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀍	U+1300D	EGYPTIAN HIEROGLYPH A011	A011	jj	14	f	人物轮廓	s	1	k	钩尾	jjfk	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C14→f;族内视觉组S1;组状态首选s;唯一键平衡→k	true	0.507462	0.8542	0.1875	1	0.0526	0.7409	0.7160	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀎	U+1300E	EGYPTIAN HIEROGLYPH A012	A012	jj	14	f	人物轮廓	s	6	g	缺口开放	jjfg	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C14→f;族内视觉组S6;组状态首选s;唯一键平衡→g	true	0.517857	0.7812	0.1810	1	0.0488	0.7125	0.7558	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀏	U+1300F	EGYPTIAN HIEROGLYPH A013	A013	jj	14	f	人物轮廓	o	3	o	外包	jjfo	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C14→f;族内视觉组S3;组状态首选o;采用首选→o	false	0.515109	0.8750	0.1553	2	0.0923	0.7465	0.7713	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀐	U+13010	EGYPTIAN HIEROGLYPH A014	A014	jj	6	z	阶梯锯齿	s	2	q	倾斜	jjzq	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C6→z;族内视觉组S2;组状态首选s;唯一键平衡→q	true	0.709356	1.0879	0.1353	1	0.1043	0.7507	0.7902	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀑	U+13011	EGYPTIAN HIEROGLYPH A014A	A014a	jj	2	y	分叉翼形	s	5	x	穿过交叠	jjyx	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C2→y;族内视觉组S5;组状态首选s;唯一键平衡→x	true	0.675096	0.9896	0.1362	1	0.0644	0.7636	0.7667	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀒	U+13012	EGYPTIAN HIEROGLYPH A015	A015	jj	22	s	方框	s	2	w	宽展	jjsw	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C22→s;族内视觉组S2;组状态首选s;唯一键平衡→w	true	0.386332	1.8704	0.1683	1	0.0532	0.7415	0.7426	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀓	U+13013	EGYPTIAN HIEROGLYPH A016	A016	jj	20	e	椭圆	s	1	e	空心低填充	jjee	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C20→e;族内视觉组S1;组状态首选s;唯一键平衡→e	true	0.435259	0.7292	0.1554	1	0.0641	0.7619	0.7607	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀔	U+13014	EGYPTIAN HIEROGLYPH A017	A017	jj	14	f	人物轮廓	s	0	x	穿过交叠	jjfx	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C14→f;族内视觉组S0;组状态首选s;唯一键平衡→x	true	0.397363	0.8438	0.1269	1	0.0979	0.7757	0.8104	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀕	U+13015	EGYPTIAN HIEROGLYPH A017A	A017a	jj	14	f	人物轮廓	s	0	x	穿过交叠	jjfx	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C14→f;族内视觉组S0;组状态首选s;唯一键平衡→x	true	0.410178	0.8542	0.1343	1	0.0686	0.7711	0.7752	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀖	U+13016	EGYPTIAN HIEROGLYPH A018	A018	jj	14	f	人物轮廓	s	8	i	内含	jjfi	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C14→f;族内视觉组S8;组状态首选s;唯一键平衡→i	true	0.413441	0.6979	0.1483	1	0.0418	0.7497	0.7618	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
